id,diary,text,date,dateTop,notDated,julian_calendar,person
104976,402,"<p>Утро. Встала и пошла за хлебом. Мне нравятся слова, прочитанные мной позавчера: ученье — свет, а неученье — тьма. Но я хочу исправить их: ученье — жизнь, а неучение — могила.  </p><p>
День и вечер. Пошла в школу. Её провожала тётя Шура («её» это значит Нину). С нами шла МАМА. Она, наверное, самая лучшая на земном шаре. Когда я пришла в школу, на коридоре стоял Мишин. Он сказал: «Привет! Ты не видела Гальки Папки?», а я в это время увидела за дверью Папку, она грозила мне кулаком: «Не выдавай меня». А я её выдала. Мишин бросился за ней, но она была уже на другом конце коридора.  </p><p>
Первым уроком была физкультура. На физкультуре мы играли в «третий лишний», со мной в пару встала Наташа Вовк-Курелех. Это самая лучшая воображала. После урока мы стали одеваться. Когда мы оделись, к нам в комнату с диким рёвом вбежал Юдин. Он набросился на Алку Полякову и потащил её за шею, стал душить. Я потянула Алку за платье, потому что другим способом отнять её у него было невозможно. И остановить тоже было невозможно, потому что он набросился на неё как тигр. Он толкнул меня, я упала печенью вниз на острый наконечник парты, и нажал вниз, у меня ужасно заболела печень. В это время в класс вошла наша староста Таня Цыбенко, пионерка. Она вместо того, чтобы остановить Юдина, побежала жаловаться Маргарите Георгиевне. Каким-то образом все в классе узнали, что сделал Юдин. И на втором уроке устроили над Юдиным суд, председателем суда выбрали Мишина. Он встал, подошёл к столу и сказал: «Ну что прикажешь с тобой делать?» Юдин молчал. «А?» Юдин молчал. Мишин: «Тогда мы спросим у класса». Многие подняли руки. Левкевич: «Послать его домой». Мишин: «Нет». Альтшулер: «Устроить до воскресенья ему бойкот!» Мишин: «Правильно, так и сделаем. Ну что вы хотите сказать, Маргарита Георгиевна?» Маргарита Георгиевна: «Пускай он пойдёт домой». Юдин уходит. Перемена. Мы с Мишиным гуляли. Вдруг мы увидели третьеклассника. Он бежал. Мы остановили его. Он с кулаками налетел на Мишина. Что? Он хотел ударить Мишина, схватил его за куртку. Вокруг собрались ребята. Он ударил кулаком меня в грудь. Тогда Мишин налетел на третьеклассника и крикнул: «Давай!» И тут на него налетели все 50 человек. И дали ему так, что он никогда больше не налетит. Причём из этих пятидесяти — 20 человек из другого класса.  </p><p>
Вечер. Делала уроки, легла спать. Мне нравятся слова Виктора Гюго из «Гавроша»: «Так умер маленький мальчик и большой герой».</p>",1957-01-29,0000-00-00,0,0,394
104977,402,"<p>День. Пришла в школу, на первом уроке меня пересадили от Вальмана к Пинаеву. Прозвенел звонок. В класс вошла Маргарита Георгиевна. Она поздоровалась с нами и сказала мне: «Лена, ты мне не принесла стихи?» Я говорю: «Нет». А Сальцинов говорит: «Я принёс сказки».</p>",1957-02-02,0000-00-00,0,0,394
104978,402,"<p>Вечер. Я поссорилась с Бертой. Она сказала, что не пустит меня в кровать. Я подумала: «Нет, Берточка, сегодня я буду спать с тобой». Я специально легла очень поздно. Из своей кровати я пошла к Берте, она храпела вовсю. Я осторожно подкралась к подушке. И легла. Я голая пролежала так полчаса. Берта повернулась, мне остался большой кусок одеяла. Я накрылась. Но вдруг Берта навалилась на мою грудь. Я стиснула от боли зубы, чтобы не закричать. Но тут пришла мама, во мне прошёл такой хороший-прехороший шорох, не могу передать какой. И тут и Берта повернулась на другой бок. Я стала думать о героях Отечественной войны, особенно о Зое Космодемьянской и о Саше Матросове, потом о пьесе. Дальше не помню.</p>",1957-02-12,0000-00-00,0,0,394
104979,402,"<p>Утро. Я проснулась и думаю: «Пора вставать, что ли? Нет, пожалуй, не надо».  </p><p>
Вдруг слышу шаги, думаю: «Мама ушла на работу в 9 часов, тётя Шура ушла в магазин, кто бы это мог быть? Если это вор, нет, это не вор, вор крадётся. Это не вор, это наверное бандит. А если это бандит, надо защищаться и не дать ему уйти. Может, этот бандит из тюрьмы убежал». Я дрожа закричала: «Э..это..то к..кто?» Послышался ответ: «Это я, Лена». И в комнату вошла Люся — дочь тёти Шуры.  </p><p>
День. Третьим уроком была физкультура. Я не принесла формы. Нас оставили одних в классе. Была драка с Семёновым.</p>",1957-02-16,0000-00-00,0,0,394
104980,402,"<p>День. Пошла в школу. Идти в школу минут 10–15. Я живу на Каляевой, школа находится на Войновой (ещё я забыла записать — в феврале, не помню какого числа, пошла к зубному врачу, в этот же день меня от Вальмана к Пинаеву пересадили, раньше я сидела на третьей парте, теперь сижу на четвёртой). У школы нашей номер 185. Сейчас буду кончать первую главу из моей повести «Косьтька», или «Долг».</p>",1957-03-12,0000-00-00,0,0,394
104981,402,"<p>Вечер. Без 15 шесть. Я приехала из лагеря, находящегося в Старой Ладоге от завода Кинап. В первую смену я была в Сестрорецке, в лагере от Рабис.  </p><p>
Там мне не понравилось. На вторую смену я поехала в Лугу, в лагерь, там мне очень понравилось, лес там сосновый, место красивое, много грибов. Потом я поехала в Старую Ладогу, там мне не очень понравилось. Когда мы уезжали, был дождь и очень скользко. Но вот мы приехали. Я покушала и пошла к Барыкину Вовке, но он ещё не приехал. Немного позанималась и легла спать.</p>",1957-08-24,0000-00-00,0,0,394
104982,402,"<p>Сегодня со мной из класса не разговаривают одни только Спажаев, Вдовина, Папка, Дергачёв. Видно, верно сказано: «Один в поле не воин».  </p><p>
День. Явилась в школу Маруся и выдала меня, но зато теперь разговаривают со мной все.</p>",1957-10-03,0000-00-00,0,0,394
104983,402,<p>Проснулась и пошла в Таврический сад. День. Ничего особенного не было.</p>,1957-10-04,0000-00-00,0,0,394
104984,402,"<p>Написала маме письмо. Сходила в ларёк и купила открытки «На родине Ленина» и решила собирать открытки, посвящённые В. И. Ленину.  </p><p>
Потом вспомнила, что у Сашки Вальмана 22 июня день рождения, и купила ему подарок — настольный крокет. По радио я услышала, что завтра, 9 июля в 19.30, состоится футбольный матч ЦСКА — Зенит (Ленинград), решила обязательно пойти.  </p><p>
Сегодня много думала о школе и решила переделать из тимуровской команды команду красных следопытов. Скорее бы приехала Розочка с Алексеем и Андрюшей. В «Ленинских искрах» объявлен конкурс на короткий рассказ, я тоже приму участие.</p>",1958-07-08,0000-00-00,0,0,394
104985,402,"<p>Заходил Вальман. Боролись, играли в настольный бильярд и армянский футбол.</p>",1958-07-10,0000-00-00,0,0,394
